,name,latitud,longitud,geometry
0,Metro Madrid Línea 6 Circular,40.429721119378,-3.6772712215486263,POINT (-3.677271221548626 40.429721119378)
1,Metro Lista,40.42922133754159,-3.675437660394494,POINT (-3.675437660394494 40.42922133754159)
2,Metro Núñez de Balboa,40.43264732925246,-3.6794972419738765,POINT (-3.679497241973877 40.43264732925246)
3,Metro Goya,40.424880505551144,-3.6775498879615336,POINT (-3.677549887961534 40.42488050555114)
4,Metro Diego de León,40.43242673606803,-3.673956011278867,POINT (-3.673956011278867 40.43242673606803)
5,Metro Velázquez,40.42512215114281,-3.6834772537791345,POINT (-3.683477253779134 40.42512215114281)
6,Metro Príncipe de Vergara,40.42298913134247,-3.679768489081434,POINT (-3.679768489081434 40.42298913134247)
7,Metro Manuel Becerra,40.42662941600543,-3.670250478795358,POINT (-3.670250478795358 40.42662941600543)
8,Metro Serrano,40.42539249973215,-3.687638149055557,POINT (-3.687638149055557 40.42539249973215)
9,Metro Avenida de América,40.43797111884382,-3.678147845470835,POINT (-3.678147845470835 40.43797111884382)
10,Metro Rubén Darío,40.43317518687901,-3.6892629725673958,POINT (-3.689262972567396 40.43317518687901)
11,Metro Colón,40.425543923665536,-3.691180944442749,POINT (-3.691180944442749 40.42554392366554)
12,Metro Retiro,40.420759746569594,-3.6858312785625458,POINT (-3.685831278562546 40.42075974656959)
13,Metro O'Donnell,40.42218379724139,-3.668963143078753,POINT (-3.668963143078753 40.42218379724139)
14,Andén Cero,40.43233402736354,-3.697678957307451,POINT (-3.697678957307451 40.43233402736354)
15,Metro Madrid Línea 4,40.427057321765034,-3.6933539376326254,POINT (-3.693353937632625 40.42705732176503)
16,Metro Ibiza,40.418376133313686,-3.6780330527280696,POINT (-3.67803305272807 40.41837613331369)
17,Metro Cartagena,40.43945943245279,-3.6722108818473718,POINT (-3.672210881847372 40.43945943245279)
18,Metro Ventas,40.431086658876275,-3.663422508660525,POINT (-3.663422508660525 40.43108665887627)
19,Metro Madrid Línea 5,40.43111330912876,-3.663383674096726,POINT (-3.663383674096726 40.43111330912876)
20,Metro Gregorio Marañón,40.438050651972304,-3.691388007405888,POINT (-3.691388007405888 40.4380506519723)
21,Metro Madrid Línea 10,40.4380520907568,-3.691507098209752,POINT (-3.691507098209752 40.4380520907568)
22,Metro Alonso Martínez,40.4275762409139,-3.69576088323938,POINT (-3.69576088323938 40.4275762409139)
23,Metro Estación de Chamberí,40.43229458790591,-3.6976372337750667,POINT (-3.697637233775067 40.43229458790591)
24,Metro Prosperidad,40.444189369088384,-3.674881160259247,POINT (-3.674881160259247 40.44418936908838)
25,Intercambiador de Avenida de América,40.43796321675271,-3.6768229688735583,POINT (-3.676822968873558 40.43796321675271)
