,name,latitud,longitud,geometry
0,Escuela infantil municipal Agua Dulce,40.45406088024461,-3.7093713617566357,POINT (-3.709371361756636 40.45406088024461)
1,Escuela infantil municipal Altair,40.37813189249392,-3.7687005492302084,POINT (-3.768700549230208 40.37813189249392)
2,Escuela infantil municipal Amanecer,40.40198995600377,-3.6010443459563537,POINT (-3.601044345956354 40.40198995600377)
3,Escuela infantil municipal Ana de Austria,40.49552153813781,-3.655736850911649,POINT (-3.655736850911649 40.49552153813781)
4,Escuela infantil municipal Campanilla,40.452700492043,-3.7019980764784606,POINT (-3.701998076478461 40.452700492043)
5,Escuela infantil municipal Cielo Azul,40.40182039479394,-3.6211941394147757,POINT (-3.621194139414776 40.40182039479394)
6,Escuela infantil municipal Doña Francisquita,40.47868156347292,-3.6302312847478593,POINT (-3.630231284747859 40.47868156347292)
7,Escuela infantil municipal El Alba,40.4017650455756,-3.713512276375299,POINT (-3.713512276375299 40.4017650455756)
8,Escuela infantil municipal El Barberillo de Lavapiés,40.39371756597044,-3.6901560198197485,POINT (-3.690156019819749 40.39371756597044)
9,Escuela infantil municipal El Bateo,40.45115316018945,-3.5921656725702142,POINT (-3.592165672570214 40.45115316018945)
10,Escuela infantil municipal El Bosque,40.4043520221113,-3.695544214066272,POINT (-3.695544214066272 40.4043520221113)
11,Escuela infantil municipal El Caserío,40.3873926648154,-3.6577856265450226,POINT (-3.657785626545023 40.3873926648154)
12,Escuela infantil municipal El Duende,40.42679288775549,-3.7045815049836723,POINT (-3.704581504983672 40.42679288775549)
13,Escuela infantil municipal El Lirón,40.40154142411511,-3.642568350981219,POINT (-3.642568350981219 40.40154142411511)
14,Escuela infantil municipal El Manantial,40.40278783515925,-3.7441981544259706,POINT (-3.744198154425971 40.40278783515925)
15,Escuela infantil municipal El Olivar,40.40955901220526,-3.7015495991222993,POINT (-3.701549599122299 40.40955901220526)
16,Escuela infantil municipal El Rocío,40.3509775884553,-3.7066886127927585,POINT (-3.706688612792759 40.3509775884553)
17,Escuela infantil municipal El Sol,40.46091554103502,-3.670320512563348,POINT (-3.670320512563348 40.46091554103502)
18,Escuela infantil municipal Escuelas de San Antón,40.42378301276458,-3.6987856754744657,POINT (-3.698785675474466 40.42378301276458)
19,Escuela infantil municipal Fernando el Católico,40.434103689530446,-3.7097392943348284,POINT (-3.709739294334828 40.43410368953045)
